created_at;";data;;;;data_payload;;;;;vazao";
11/10/17;"18:22:06.549421-03;2017-10-11 18:22;18:22;12:08:00";"AM;8;0b00d409;00d409;54281;4;0,5;0,5"
11/10/17;"18:14:47.520212-03;2017-10-11 18:14;18:14;12:07:00";"AM;7;0b00d405;00d405;54277;5;0,714285714;0,714285714"
11/10/17;"18:07:06.683944-03;2017-10-11 18:07;18:07;12:08:00";"AM;8;0b00d400;00d400;54272;5;0,625;0,625"
11/10/17;"17:59:43.399135-03;2017-10-11 17:59;17:59;12:07:00";"AM;7;0b00d3fb;00d3fb;54267;5;0,714285714;0,714285714"
11/10/17;"17:52:24.210933-03;2017-10-11 17:52;17:52;12:08:00";"AM;8;0b00d3f6;00d3f6;54262;5;0,625;0,625"
11/10/17;"17:44:39.131936-03;2017-10-11 17:44;17:44;12:15:00";"AM;15;0b00d3f1;00d3f1;54257;12;0,8;0,8"
11/10/17;"17:29:43.370101-03;2017-10-11 17:29;17:29;12:07:00";"AM;7;0b00d3e5;00d3e5;54245;6;0,857142857;0,857142857"
11/10/17;"17:22:15.812353-03;2017-10-11 17:22;17:22;12:08:00";"AM;8;0b00d3df;00d3df;54239;7;0,875;0,875"
11/10/17;"17:14:48.196728-03;2017-10-11 17:14;17:14;12:07:00";"AM;7;0b00d3d8;00d3d8;54232;6;0,857142857;0,857142857"
11/10/17;"17:07:20.612013-03;2017-10-11 17:07;17:07;12:15:00";"AM;15;0b00d3d2;00d3d2;54226;14;0,933333333;0,933333333"
11/10/17;"16:52:24.884033-03;2017-10-11 16:52;16:52;12:08:00";"AM;8;0b00d3c4;00d3c4;54212;6;0,75;0,75"
11/10/17;"16:44:57.297805-03;2017-10-11 16:44;16:44;12:07:00";"AM;7;0b00d3be;00d3be;54206;6;0,857142857;0,857142857"
11/10/17;"16:37:34.011436-03;2017-10-11 16:37;16:37;12:07:00";"AM;7;0b00d3b8;00d3b8;54200;7;1;1"
11/10/17;"16:30:02.025848-03;2017-10-11 16:30;16:30;12:08:00";"AM;8;0b00d3b1;00d3b1;54193;10;1,25;1,25"
11/10/17;"16:22:42.987979-03;2017-10-11 16:22;16:22;12:07:00";"AM;7;0b00d3a7;00d3a7;54183;9;1,285714286;1,285714286"
11/10/17;"16:15:15.119276-03;2017-10-11 16:15;16:15;12:08:00";"AM;8;0b00d39e;00d39e;54174;12;1,5;1,5"
11/10/17;"16:07:51.58483-03;2017-10-11 16:07;16:07;12:07:00";"AM;7;0b00d392;00d392;54162;10;1,428571429;1,428571429"
